id,dev,fp,det,geo,ch
 0,  11,21,31,0,63
 1,  11,21,31,0,62
 2,  11,21,31,0,61
 3,  11,21,31,0,60
 4,  11,21,31,0,47
 5,  11,21,31,0,46
 6,  11,21,31,0,45
 7,  11,21,31,0,44
 8,  11,21,31,0,59
 9,  11,21,31,0,58
10,  11,21,31,0,57
11,  11,21,31,0,56
12,  11,21,31,0,43
13,  11,21,31,0,42
14,  11,21,31,0,41
15,  11,21,31,0,40
16,  11,21,31,0,55
17,  11,21,31,0,54
18,  11,21,31,0,53
19,  11,21,31,0,52
20,  11,21,31,0,39
21,  11,21,31,0,38
22,  11,21,31,0,37
23,  11,21,31,0,36
24,  11,21,31,0,51
25,  11,21,31,0,50
26,  11,21,31,0,49
27,  11,21,31,0,48
28,  11,21,31,0,35
29,  11,21,31,0,34
30,  11,21,31,0,33
31,  11,21,31,0,32
32,  11,21,31,0,95
33,  11,21,31,0,94
34,  11,21,31,0,93
35,  11,21,31,0,92
36,  11,21,31,0,79
37,  11,21,31,0,78
38,  11,21,31,0,77
39,  11,21,31,0,76
40,  11,21,31,0,91
41,  11,21,31,0,90
42,  11,21,31,0,89
43,  11,21,31,0,88
44,  11,21,31,0,75
45,  11,21,31,0,74
46,  11,21,31,0,73
47,  11,21,31,0,72
48,  11,21,31,0,87
49,  11,21,31,0,86
50,  11,21,31,0,85
51,  11,21,31,0,84
52,  11,21,31,0,71
53,  11,21,31,0,70
54,  11,21,31,0,69
55,  11,21,31,0,68
56,  11,21,31,0,83
57,  11,21,31,0,82
58,  11,21,31,0,81
59,  11,21,31,0,80
60,  11,21,31,0,67
61,  11,21,31,0,66
62,  11,21,31,0,65
63,  11,21,31,0,64
64,  11,21,31,0,127
65,  11,21,31,0,126
66,  11,21,31,0,125
67,  11,21,31,0,124
68,  11,21,31,0,111
69,  11,21,31,0,110
70,  11,21,31,0,109
71,  11,21,31,0,108
72,  11,21,31,0,123
73,  11,21,31,0,122
74,  11,21,31,0,121
75,  11,21,31,0,120
76,  11,21,31,0,107
77,  11,21,31,0,106
78,  11,21,31,0,105
79,  11,21,31,0,104
80,  11,21,31,0,119
81,  11,21,31,0,118
82,  11,21,31,0,117
83,  11,21,31,0,116
84,  11,21,31,0,103
85,  11,21,31,0,102
86,  11,21,31,0,101
87,  11,21,31,0,100
88,  11,21,31,0,115
89,  11,21,31,0,114
90,  11,21,31,0,113
91,  11,21,31,0,112
92,  11,21,31,0,99
93,  11,21,31,0,98
